title,sub_title,body,category,gender,price,price_compare,qty,size,color,img
Vaporfly 2,Women's Road Racing Shoes,"Continue the next evolution of speed with a racing shoe made to you help chase new goals and records. It helps improve comfort and breathability with a redesigned upper. From a 10K to a marathon, this model, like the previous version, has the responsive cushioning and secure support to push you towards your personal best.",shoes,women,212.97,250,,,orange,/img/products/shoes/women/vaporfly-2-1.avif
,,,,,,,,,black,/img/products/shoes/women/vaporfly-2-2.jpeg
,,,,,,,,,pink,/img/products/shoes/women/vaporfly-2-3.jpeg
,,,,,,,,,yellow,/img/products/shoes/women/vaporfly-2-4.jpeg
Structure 24,Women's Road Running Shoes,"The Nike Structure 24 has you ready to hit the road. We tested hundreds of runners to design the crash pad under your heel that creates a cushioned, smooth transition from heel to toe. Those insights also created an airy upper with breathability right where you need it.",shoes,women,110.97,130,,,white,/img/products/shoes/women/Structure-24-white.webp
,,,,,,,,,pink,/img/products/shoes/women/Structure-24-pink.webp
,,,,,,,,,pink,/img/products/shoes/women/Structure-24-pink-2.webp
,,,,,,,,,black,/img/products/shoes/women/Structure-24-black.webp
Zoom Fly 5,Women's Road Running Shoes,"Bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favorite race, but in the days and months after your conquest. It offers comfort and reliability but with a propulsive sensation that’ll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can’t have it all?",shoes,women,136.97,160,,,purple,/img/products/shoes/women/Zoom-Fly-5-purple.webp
,,,,,,,,,green,/img/products/shoes/women/Zoom-Fly-5-green.webp
,,,,,,,,,pink,/img/products/shoes/women/Zoom-Fly-5-pink.webp
,,,,,,,,,black,/img/products/shoes/women/Zoom-Fly-5-black.jpeg
React Infinity 3 By You,Custom Women's Road Running Shoes,"Stay on your feet in a design that’s made to help keep you healthy while catering to your individualistic tastes in the Nike React Infinity Run 3 By You. You’re the creator with the final say, painting and picking from an extensive pallet of colors and exterior details that suite your distinctive style. Customize it to your liking and feel hopeful about endless possibilities when you hit the open road.",shoes,women,190,190,,,white,/img/products/shoes/women/React-Infinity-3 By-You-white.jpeg
,,,,,,,,,pink,/img/products/shoes/women/React-Infinity-3 By-You-pink.webp
,,,,,,,,,red,/img/products/shoes/women/React-Infinity-3 By-You-red.webp
,,,,,,,,,black,/img/products/shoes/women/React-Infinity-3 By-You-black.webp
Dri-FIT Element,Women's Running Crew,The Nike Dri-FIT Element Crew returns with an updated design. An all-new sleeve features a window that lets you easily check your watch. This product is made with at least 75% recycled polyester fibers.,clothes,women,60,60,,,yellow,/img/products/clothes/women/Dri-FIT-Element-yellow.webp
,,,,,,,,,grey,/img/products/clothes/women/Dri-FIT-Element-grey.jpeg
,,,,,,,,,black,/img/products/clothes/women/Dri-FIT-Element-black.webp
,,,,,,,,,black,/img/products/clothes/women/Dri-FIT-Element-black-2.webp
Nike Swoosh,Women's Sports Bra,"With wide, comfy straps in a classic racerback design, the Nike Swoosh Sports Bra feels snug and secure while you move. Smooth, lightweight fabric wicks sweat to keep you dry, comfortable and focused. For every rep, step and jump—know that you’re supported.",clothes,women,35,35,,,yellow,/img/products/clothes/women/Nike-Swoosh-yellow.webp
,,,,,,,,,green,/img/products/clothes/women/Nike-Swoosh-green.webp
,,,,,,,,,pink,/img/products/clothes/women/Nike-Swoosh-pink.webp
Nike Sportswear,Women's T-Shirt,"Deciding on what to wear has never been easier with this roomy tee. Whether you're wearing it alone or tucked under your favorite jacket, this soft cotton basic is sure to become an everyday favorite.",clothes,women,30,30,,,pink,/img/products/clothes/women/Nike-Sportswear-pink.webp
,,,,,,,,,white,/img/products/clothes/women/Nike-Sportswear-white.webp
ACG Oregon Series,Men's Cargo Pants,"Tapping into the iconic ACG Oregon Series from 2002, these cargo pants follow the original design lines for that authentic, trail-ready look and feel. They're made with durable woven fabric, and a reinforced seat to help them withstand your most rugged adventures. Multi-purpose cargo pockets give you secure space to store your hiking essentials and the integrated belt helps you find a comfy fit for the long haul.",clothes,men,205,205,,,green,/img/products/clothes/men/cargo-pants-green.webp
Therma-FIT,Men's Pullover Hoodie,"Bring the heat to your cold weather workout. In the Therma-FIT Pullover, supersoft fleece keeps the comfort levels high while you take your exercise routine to the next level. A relaxed feel means you can stretch and bench without anything holding you back.",clothes,men,65,65,,,purple,/img/products/clothes/men/themal-fit-hoodie-purple.webp
,,,,,,,,,red,/img/products/clothes/men/themal-fit-hoodie-red.webp
,,,,,,,,,blue,/img/products/clothes/men/themal-fit-hoodie-blue.webp
,,,,,,,,,grey,/img/products/clothes/men/themal-fit-hoodie-grey.jpeg
Dri-FIT DNA,Men's Basketball Shorts,"Take care of the future like you take care of the ball in the Nike Dri-FIT DNA Shorts. Made from at least 75% recycled polyester, they offer light, breathable fabric that's tailored for the game.",clothes,men,50,50,,,blue,/img/products/clothes/men/Dri-FIT-DNA-shorts-blue.webp
,,,,,,,,,grey,/img/products/clothes/men/Dri-FIT-DNA-shorts-grey.webp
,,,,,,,,,red,/img/products/clothes/men/Dri-FIT-DNA-shorts-red.webp
Long Sleeve Essential,Men's Long-Sleeve Shirt,"The Nike Essential Swim Shirt offers sun protection to help guard against UV rays while you're training outdoors. Knit fabric gives this shirt natural stretch for a comfortable fit, while sweat-wicking technology helps to manage moisture.",clothes,men,44,44,,,grey,/img/products/clothes/men/long-sleeve-essential-grey.webp
,,,,,,,,,white,/img/products/clothes/men/long-sleeve-essential-white.webp
,,,,,,,,,black,/img/products/clothes/men/long-sleeve-essential-black.webp
Sportswear Windrunner,Men's Hooded Jacket,The Nike Sportswear Windrunner Jacket updates our first running windbreaker with lightweight fabric made from recycled materials. Design details pulled from the original version provide a heritage Nike look. This product is made with 100% recycled polyester fibers.,clothes,men,75.97,100,,,green,/img/products/clothes/men/Sportswear-Windrunner-green.webp
,,,,,,,,,black,/img/products/clothes/men/Sportswear-Windrunner-black.webp
,,,,,,,,,blue,/img/products/clothes/men/Sportswear-Windrunner-blue.webp
,,,,,,,,,red,/img/products/clothes/men/Sportswear-Windrunner-red.webp
Nike Hat,Adjustable Cap,"Classic and comfortable, the Nike Sportswear Heritage 86 Cap features a 6-panel design made from cotton twill fabric and an adjustable closure for a snug, secure fit.",accessories,unisex,24,24,,,blue,/img/products/accessories/unisex/nike-hat-blue.webp
,,,,,,,,,black,/img/products/accessories/unisex/nike-hat-black.webp
,,,,,,,,,brown,/img/products/accessories/unisex/nike-hat-brown.webp
,,,,,,,,,white,/img/products/accessories/unisex/nike-hat-white.webp
Utility Speed Backpack,Training Backpack (27L),"The Nike Utility Speed Backpack keeps your gear close, secure and organized when commuting to and from training sessions. Cushioned straps give you comfort on the go, and the pack opens flat for easy access to must-have items.",accessories,men,77,77,,,black,/img/products/accessories/men/backpack.webp
G-Flex Belt,Golf Belt,"The Tiger Woods Golf Belt offers a classic, clean-cut look for your day on the green. Nike Hole Reinforcer technology helps protect belt holes from wear and tear, while Nike Ultralight technology provides lightweight feel and full range of motion.",accessories,unisex,75,75,,,black,/img/products/accessories/unisex/belt-g-flex-black.webp
,,,,,,,,,white,/img/products/accessories/unisex/belt-g-flex-white.webp
Essential Horizon Glasses,Blue Light Glasses,"Sometimes it's hard to pull yourself away from the screen. The Nike Blue Light Collection features a premium lens coating that helps reduce blue light exposure for use at home, office, and gaming on your digital devices.",accessories,women,99,99,,,pink,/img/products/accessories/women/Essential-Horizon-pink.webp
,,,,,,,,,white,/img/products/accessories/women/Essential-Horizon-white.webp
,,,,,,,,,black,/img/products/accessories/women/Essential-Horizon-black.webp
Maverick Polarized Glasses,Golf Sunglasses,"A rebel on the outside, the Nike Maverick Sunglasses are pure performance on the inside. The lightweight frame features ventilation and temple arms that provide a soft, firm grip, ensuring you can wear these sunglasses for hours on the course, and off.",accessories,unisex,199,199,,,blue,/img/products/accessories/unisex/Maverick-Polarized-Glasses-blue.webp
,,,,,,,,,red,/img/products/accessories/unisex/Maverick-Polarized-Glasses-red.webp
,,,,,,,,,black,/img/products/accessories/unisex/Maverick-Polarized-Glasses-black.webp
Tennis Bag,Stash Duffel Bag,"Serena doesn't shy away from being bold and daring with her style, and neither do you. The Serena Williams Design Crew Stash Duffel is as fun as it is functional—a main compartment creates plenty of space for your gear from the court to the gym and everything else life throws your way. Need some space? The front zippered pocket provides secure small-item storage and turns inside out to store the bag easily when not in use.",accessories,women,49,49,,,white,/img/products/accessories/unisex/tennis-bag-white.jpeg
Sportswear Essentials Bag,Crossbody Bag,"The Nike Sportswear Essentials Crossbody Bag features 2 zippered pockets to let you keep the small stuff organized and easy to grab. The accessory pocket zipper pull offers quick access to smaller items, while an adjustable strap and buckle provide an easy on and off fit. This product is made with at least 50% recycled polyester fibers.",accessories,unisex,32,32,,,black,/img/products/accessories/unisex/Sportswear-Essentials-Bag-black.webp
,,,,,,,,,blue,/img/products/accessories/unisex/Sportswear-Essentials-Bag-blue.webp
,,,,,,,,,white,/img/products/accessories/unisex/Sportswear-Essentials-Bag-white.webp
Invincible 3,Women's Road Running Shoes,"With maximum cushioning to support every mile, the Invincible 3 gives you our highest level of comfort underfoot to help you stay on your feet today, tomorrow and beyond. Designed to help keep you on the run, it’s super springy and bouncy, so that you can propel down your preferred path and come back for your next run feeling ready and reinvigorated.",shoes,women,180,180,,,pink,/img/products/shoes/women/Invincible-3-pink.webp
,,,,,,,,,grey,/img/products/shoes/women/Invincible-3-grey.webp
,,,,,,,,,black,/img/products/shoes/women/Invincible-3-black.webp
,,,,,,,,,black,/img/products/shoes/women/Invincible-3-black-2.webp
Vomero 16,Women's Road Running Shoes,"The Vomero 16 adds responsive ZoomX foam cushioning, bringing an energetic pop to your stride that’s perfect for high mileage on the road. It’s super lightweight, with plenty of stretch and ventilation through the upper. Looking for the right amount of support? We’ve got you covered with an adjustable midfoot band and a stable clip at the heel.",shoes,women,160,160,,,pink,/img/products/shoes/women/Vomero-16-pink.webp
,,,,,,,,,black,/img/products/shoes/women/Vomero-16-black.webp
Downshifter 12,Women's Road Running Shoes,"Take those first steps on you running journey in the Nike Downshifter 12. It's got a supportive fit and a stable ride, with a lightweight feel that easily transitions from your workout to hanging out. This one continues our sustainability journey with a design made from at least 20% recycled content by weight. Your trek begins. Lace up and hit the road.",shoes,women,70,70,,,pink,/img/products/shoes/women/Downshifter-12-pink.webp
,,,,,,,,,white,/img/products/shoes/women/Downshifter-12-grey.webp
Renew Ride 3,Women's Road Running Shoes,"When everyday runs are on the menu, the Nike Renew Ride 3 Premium comes through with a smooth and soft ride. It has a secure fit and cozy feel, geared for those looking to find their running potential, while a subtle wink at the tongue reminds you to find the fun on your route. It's so comfortable, you'll want to keep wearing it throughout your day.",shoes,women,56.97,80,,,white,/img/products/shoes/women/Renew-Ride-3-white.webp
,,,,,,,,,pink,/img/products/shoes/women/Renew-Ride-3-pink.webp
,,,,,,,,,green,/img/products/shoes/women/Renew-Ride-3-green.webp
Zoom Fly 5,Men's Running Shoes,Bridge the gap between your weekend training run and race day with a durable design that feels just as at home on the starting line as it does on your regular route. ZoomX foam and a carbon-fiber plate help the Nike Zoom Fly 5 offer comfort and reliability alongside a responsive propulsive sensation that’ll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can’t have it all?,shoes,men,170,170,,,green,/img/products/shoes/men/Zoom-Fly-5-green.webp
,,,,,,,,,black,/img/products/shoes/men/Zoom-Fly-5-black.webp
Revolution 5,Men's Road Running Shoes,"When the road beckons, answer the call in a lightweight pair that’ll keep you moving mile after mile. Soft foam cushions your stride, and a reinforced heel delivers a smooth, stable ride. Crafted with knit material for breathable support, while a minimalist design fits in just about anywhere your day takes you.",shoes,men ,44.97,65,,,grey,/img/products/shoes/men/Nike-Revolution-5-grey.webp
Terra 7,Men's Trail Running Shoes,"Run the trail in a super responsive running shoe. Fast and lightweight, it delivers a breathable and secure feel as you race over rocky paths. Updated traction lugs provide stability for your downhill miles.",shoes,men,97.97,140,,,orange,/img/products/shoes/men/Terra-7-orange.webp
Infinity React 3 Premium,Men's Road Running Shoes,"With soft and supportive cushioning, built to help keep you on the run, the Infinity React 3 is here to help get you moving Regardless of whether your pace is snail-like or lickety-split, it helps keep you on the go. Expressive, playful graphics remind you fun can be found in every stride, even when those heavy miles won’t run themselves. So go ahead, put 1 foot in front of the other, we’ve got you.",shoes,men,170,170,,,brown,/img/products/shoes/men/Infinity-React-3-Premium.webp
Nike Winflo 9 Premium,Men's Road Running Shoes,"Featuring a balanced ride to help kickstart your run, the Winflo 9 is here to help get you moving. Regardless of whether your pace is snail-like or lickety-split, this special version will help keep you on the go. Nike Air and soft, springy foam work with expressive, playful graphics to remind you fun can be found in every stride, even when those heavy miles won’t run themselves. So go ahead, put 1 foot in front of the other. We’ve got you.",shoes,men,110,110,,,white,/img/products/shoes/men/Nike-Winflo-9-Premium.webp
React Infinity 3,Men's Road Running Shoes,"Still 1 of our most tested shoes, the Nike React Infinity 3 has soft and supportive cushioning. Its soft, stable feel with a smooth ride will carry you through routes, long and short. A breathable upper is made to feel contained, yet flexible. We even added more cushioning around the heel and ankle for a supportive sensation. Keep running, we've got you.",shoes,men,160,160,,,brown,/img/products/shoes/men/React-Infinity-3-brown.webp
,,,,,,,,,grey,/img/products/shoes/men/React-Infinity-3-grey.webp
,,,,,,,,,black,/img/products/shoes/men/React-Infinity-3-black.webp
Wildhorse 7,Men's Trail Running Shoes,Take on those tough and extreme trail runs with the rugged build of the Nike Wildhorse 7. Confidently take on rocky terrain with high-abrasion rubber on the outsole that adds durable traction. The upper delivers durable ventilation with support where you need it. Foam midsole cushioning gives a neutral feel and provides responsiveness on every mile.,shoes,men,89.97,130,,,grey,/img/products/shoes/men/Wildhorse-7-grey.webp
,,,,,,,,,black,/img/products/shoes/men/Wildhorse-7-black.webp
React Miler 3,Men's Road Running Shoes,"Cushioned and comfortable, just like every run should feel. The Nike React Miler 3 gives you a soft and smooth ride as your feet hit the pavement. We added stability at the heel for a secure sensation, while durable traction helps keep you going on runs long and short.",shoes,men,71.97,120,,,green,/img/products/shoes/men/React-Miler-3-green.webp
,,,,,,,,,black,/img/products/shoes/men/React-Miler-3-black.webp
Vomero 16,Men's Road Running Shoes,"The Vomero 16 adds responsive ZoomX foam cushioning, bringing an energetic pop to your stride that’s perfect for high mileage on the road. It’s super lightweight, with plenty of stretch and ventilation through the upper. Looking for the right amount of support? We’ve got you covered with an adjustable midfoot band and a stable clip at the heel.",shoes,men,150,150,,,grey,/img/products/shoes/men/Vomero-16-grey.webp
,,,,,,,,,blue,/img/products/shoes/men/Vomero-16-blue.webp
Air Max 90,Women's Shoes,"Lace up and feel the legacy. Produced at the intersection of art, music and culture, this champion running shoe helped define the ‘90s. Worn by presidents, revolutionized through collabs and celebrated through rare colorways, its striking visuals and exposed Nike Air keep it alive and well.",shoes,women,130,130,,,white,/img/products/shoes/women/Air-Max-90-white.webp
,,,,,,,,,pink,/img/products/shoes/women/Air-Max-90-pink.webp
Air Max 270,Women's Shoes,"Put a bounce in your step with the Nike Air Max 270. An extra-large Max Air unit wraps around the heel to cushion your every step, leaving you feeling like you’re walking on Air. The stretchy inner sleeve provides a sock-like fit for comfort that lasts. Pops of fresh colors sprinkled throughout add bright style to your day.",shoes,women,160,160,,,white,/img/products/shoes/women/Nike-Air-Max-270-white.webp
,,,,,,,,,white,/img/products/shoes/women/Nike-Air-Max-270-white-2.webp
,,,,,,,,,white,/img/products/shoes/women/Nike-Air-Max-270-white-3.webp
,,,,,,,,,purple,/img/products/shoes/women/Nike-Air-Max-270-purple.webp
Repel Miler,Men's Running Jacket,An essential piece to your running game gets an update on the Nike Repel Miler Jacket. It's built to take on wet weather with a water-repellent design and a hood. The packable design features a look steeped in Nike's heritage. This product is made with 100% recycled polyester fibers.,clothes,men,90,90,,,green,/img/products/clothes/men/Repel-Miler-1.webp
,,,,,,,,,black,/img/products/clothes/men/Repel-Miler-2.webp
,,,,,,,,,grey,/img/products/clothes/men/Repel-Miler-3.webp
Nike Sportswear,Faux Fur Blanket,"Celebrate the seasonal shift of weather by bundling up in this blanket. Made of the coziest faux fur fleece, this statement piece does double-duty as oversized layering piece or softest spot on your couch.",accessories,unisex,170.97,200,,,white,/img/products/accessories/unisex/Faux-Fur-Blanket-1.webp
,,,,,,,,,brown,/img/products/accessories/unisex/Faux-Fur-Blanket-2.webp
,,,,,,,,,black,/img/products/accessories/unisex/Faux-Fur-Blanket-3.webp
Flex Experience Run 11 Next Nature,Men's Road Running Shoes,"Comfortably zen, just like every run should be. With the Nike Flex Experience Run 11 Next Nature, we created a lightweight, clean design that feels as good as it looks. The shoes are supportive in all the right ways with movement so natural, you'll swear you've been wearing them for years.",shoes,men,41.97,70,,,grey,/img/products/shoes/men/Flex-Experience-Run-11-grey-1.webp
,,,,,,,,,grey,/img/products/shoes/men/Flex-Experience-Run-11-grey-2.webp
,,,,,,,,,black,/img/products/shoes/men/Flex-Experience-Run-11-black.webp
,,,,,,,,,blue,/img/products/shoes/men/Flex-Experience-Run-11-blue.webp
Pegasus 38,Men's Running Shoes,Your workhorse with wings returns. The Nike Air Zoom Pegasus 38 (NFL New Orleans Saints) puts a spring in your step while showing love for your team. Breathable mesh in the upper combines the comfort and durability you want with a wider fit at the toes.,shoes,men,65,130,,,grey,/img/products/shoes/men/Pegasus-38-3.webp
,,,,,,,,,red,/img/products/shoes/men/Pegasus-38-2.webp
,,,,,,,,,grey,/img/products/shoes/men/Pegasus-38-1.webp
,,,,,,,,,black,/img/products/shoes/men/Pegasus-38-4.webp
